year,ADS,DM,ITP2,WD
1,3,9.25,4.43,2.18
2,4.62,10.52,6.37,2.18
3,6.05,19.9,8.6,9.99
4,6.6,25.97,11.93,12.5
5,8.76,29.18,17.92,16.47
6,10.06,35.5,25.25,18.32
7,11.55,39.87,29.25,23.68
8,12.72,41.73,31.45,27.89
9,25.89,41.73,31.45,27.89
10,31.88,47.67,28.38,44.28
11,31.88,47.67,28.38,44.28
12,33.63,51.92,40.25,44.77
13,33.89,53.6,44.32,45.25
14,34.3,55.38,48.63,45.25
15,34.75,56.27,59.72,47.06
16,35.15,56.78,59.8,53.17
17,35.15,56.78,59.8,53.17
18,35.87,59.58,59.8,58.85
19,37.12,62.45,59.8,67.88
20,37.4,84.9,66.75,69.75
21,44.3,90.2,72.3,69.75
22,50.97,94.5,82.1,84.65
