Employee,AAMPT,RALPT,Return%,SLI%,Bulb%,Keyfob Upsell%,Tickets/Hour,SPIFF/Hour,SPIFF/Ticket
AH,2.43,1.41,0.06,0.068,0.311,0.030,2.11,0.29,0.14
CO,2.85,1.43,0.03,0.074,0.302,0.156,2.14,0.59,0.27
RB,1.94,1.32,0.04,0.104,0.208,0.000,2.09,0.33,0.16
SR,3.49,1.41,0.04,0.110,0.271,0.165,2.14,0.65,0.30
MH,1.34,1.19,0.02,0.078,0.183,0.028,1.88,0.28,0.15
BC,3.59,1.51,0.03,0.080,0.353,0.236,2.29,0.87,0.38
OF,1.37,1.22,0.03,0.014,0.184,0.100,0.85,0.25,0.29
SC,2.09,1.32,0.03,0.060,0.289,0.102,2.09,0.38,0.18
ZC,3.37,1.45,0.04,0.052,0.340,0.101,1.92,0.67,0.35
MB,2.00,1.32,0.02,0.048,0.327,0.000,1.46,0.28,0.19
TARGET,2.33,1.36,0.04,0.1,0.27,0.18,2.1,0.6,0.22
